;iteration;lat;lon;age;number;plateid
0;0;14.685631896670605;330.3986028655441;201.0;1.0;101.0
1;0;-37.70192379514987;352.60949747840954;183.0;2.0;701.0
2;0;-44.20159090680655;71.6578453374488;155.0;3.0;801.0
3;0;0.009293262906658595;217.45360365994347;147.0;4.0;901.0
4;0;-25.395353748147357;238.0508256988403;145.0;5.0;901.0
5;0;-45.01189187682703;63.2083542160033;136.0;6.0;801.0
6;0;-24.655443891116793;338.34218110080616;132.0;7.0;701.0
7;0;-53.21767015878434;52.03517370243118;132.0;8.0;801.0
8;0;-36.893216341888866;258.6882682856339;123.0;9.0;901.0
9;0;-40.11043299596504;207.181290329132;121.0;10.0;901.0
10;0;-41.48816052895335;43.21925874219549;118.0;11.0;501.0
11;0;-49.01079244329909;43.00796909571348;114.0;12.0;8021.0
12;0;-30.109653924657586;214.17038695314;111.0;13.0;901.0
13;0;-46.462981690945256;50.68697257810264;100.0;14.0;8021.0
14;0;-1.0793272606437383;218.194614751092;99.0;15.0;901.0
15;0;-45.712520728390075;73.90560474943359;96.0;16.0;801.0
16;0;-48.632829814224955;59.07757740318177;95.0;17.0;801.0
17;0;-39.109365400535395;209.79217552368175;90.0;18.0;901.0
18;0;-38.285633259864774;33.095429125396656;84.0;19.0;701.0
19;0;5.6521368295856105;332.2608538856955;73.0;20.0;701.0
20;0;-60.2842357568807;355.2991876868559;73.0;21.0;8021.0
21;0;-15.060666198395635;54.99092095149865;65.0;22.0;501.0
22;0;63.08633449924985;352.9941154088612;54.0;23.0;102.0
23;0;9.934716812637767;41.17786913998666;31.0;24.0;701.0
24;0;47.233258965489114;244.83822218208036;15.0;25.0;101.0
25;1;12.766583887088787;330.3573796203312;201.0;1.0;101.0
26;1;-40.63008086616716;350.43285296208586;183.0;2.0;701.0
27;1;-46.168988517765364;74.24623906788464;155.0;3.0;801.0
28;1;3.068282723465219;216.79430975765817;147.0;4.0;901.0
29;1;-22.890970581511144;236.16106710417077;145.0;5.0;901.0
30;1;-47.617126023076295;65.59131155392751;136.0;6.0;801.0
31;1;-27.827890358705456;336.42094682343605;132.0;7.0;701.0
32;1;-56.28641532730251;54.832743454492245;132.0;8.0;801.0
33;1;-35.73140634373438;255.27891145172856;123.0;9.0;901.0
34;1;-36.422549241774156;205.348942172963;121.0;10.0;901.0
35;1;-44.56467817527625;44.93619913944561;118.0;11.0;501.0
36;1;-52.114641786690385;45.42777889506863;114.0;12.0;8021.0
37;1;-26.856809558915874;213.02476117501664;111.0;13.0;901.0
38;1;-48.401370509792706;52.76431950990961;100.0;14.0;8021.0
39;1;1.3648401046749425;218.21027359753344;99.0;15.0;901.0
40;1;-46.8206589528284;77.03034112421822;96.0;16.0;801.0
41;1;-50.47346116118659;62.11389859041887;95.0;17.0;801.0
42;1;-36.19436840277778;208.86045584987144;90.0;18.0;901.0
43;1;-41.191329979341454;33.90027201030007;84.0;19.0;701.0
44;1;3.320845666891317;332.23816995995094;73.0;20.0;701.0
45;1;-63.3786696083405;352.30081659178944;73.0;21.0;8021.0
46;1;-17.177383489970502;55.50251629735227;65.0;22.0;501.0
47;1;60.11493662511941;354.6976259253304;54.0;23.0;102.0
48;1;8.861550875124665;41.152275982937546;31.0;24.0;701.0
49;1;47.3941893259036;245.197673195076;15.0;25.0;101.0
50;2;14.271415603275086;331.8616365288016;201.0;1.0;101.0
51;2;-39.82400256196164;349.32472161788115;183.0;2.0;701.0
52;2;-47.51508403952926;74.16569673740405;155.0;3.0;801.0
53;2;2.462025259985058;217.75643348630132;147.0;4.0;901.0
54;2;-23.13406933369451;237.65542024766543;145.0;5.0;901.0
55;2;-47.59246569198795;65.42179708595113;136.0;6.0;801.0
56;2;-26.762541063232035;337.4218474973959;132.0;7.0;701.0
57;2;-56.09023698777517;54.286150830018144;132.0;8.0;801.0
58;2;-35.343178409219924;256.92148892616973;123.0;9.0;901.0
59;2;-36.85015433405842;206.9431610376023;121.0;10.0;901.0
60;2;-44.62606565897891;44.49104991934795;118.0;11.0;501.0
61;2;-52.35200128755062;44.439451063242345;114.0;12.0;8021.0
62;2;-26.458739417001173;213.59972305124845;111.0;13.0;901.0
63;2;-49.79360911257059;52.12230914298428;100.0;14.0;8021.0
64;2;2.6942612214127113;217.20375739575954;99.0;15.0;901.0
65;2;-47.975747958254495;76.56076549970895;96.0;16.0;801.0
66;2;-51.69534152579219;61.34209821682302;95.0;17.0;801.0
67;2;-35.15049039648431;208.89592362000968;90.0;18.0;901.0
68;2;-42.50764187350788;32.57441922311083;84.0;19.0;701.0
69;2;3.007281489314812;331.93659301512724;73.0;20.0;701.0
70;2;-63.80359433152103;351.465211369295;73.0;21.0;8021.0
71;2;-18.301205369974102;55.20382112165162;65.0;22.0;501.0
72;2;59.494652937975815;355.811248787756;54.0;23.0;102.0
73;2;8.017546556953866;41.05375694435345;31.0;24.0;701.0
74;2;47.45213453296831;245.10798401350274;15.0;25.0;101.0
75;3;13.485436789752463;328.5683706084842;201.0;1.0;101.0
76;3;-39.40418705825842;349.5999296368543;183.0;2.0;701.0
77;3;-46.50772157389467;71.2389770360452;155.0;3.0;801.0
78;3;1.9322667543078653;215.16588470031854;147.0;4.0;901.0
79;3;-23.645559922627445;235.12798669277402;145.0;5.0;901.0
80;3;-47.11000691132914;62.60240148340554;136.0;6.0;801.0
81;3;-26.510906445651294;335.0886474073851;132.0;7.0;701.0
82;3;-55.574868411466234;51.51645123922358;132.0;8.0;801.0
83;3;-35.76105303338205;254.58809244770373;123.0;9.0;901.0
