,lat,lon,age,iteration,model,net_TPW,actual_time
0,,86.69242287785096,157.9296082086762,10.0,0,Continent_frame,3.307577122149032,990
1,,84.03613404023119,173.30661066670245,20.0,0,Continent_frame,5.963865959768809,990
2,,83.01967848128496,174.91427203508692,30.0,0,Continent_frame,6.980321518715044,990
3,,82.0912628096488,178.53144660076663,40.0,0,Continent_frame,7.9087371903512125,990
4,,81.62074811829314,168.11122593282903,50.0,0,Continent_frame,8.37925188170687,990
5,,80.49774371311858,-178.27404348899822,60.0,0,Continent_frame,9.502256286881423,990
6,,81.44653989290444,-172.11466506509237,70.0,0,Continent_frame,8.553460107095558,990
7,,83.31118852101902,172.70797320032005,80.0,0,Continent_frame,6.688811478980983,990
8,,83.30682981650837,-144.31577881964517,90.0,0,Continent_frame,6.693170183491632,990
9,,83.88685850413586,-120.16631342219296,100.0,0,Continent_frame,6.113141495864144,990
10,,84.29849776732657,-114.64150213742549,110.0,0,Continent_frame,5.701502232673432,990
11,,84.46105497490747,-149.9743220151858,120.0,0,Continent_frame,5.538945025092528,990
12,,81.75062729951824,-129.82312698410274,130.0,0,Continent_frame,8.24937270048175,990
13,,83.83945454092101,-125.72882751588715,140.0,0,Continent_frame,6.160545459078995,990
14,,86.80849742398789,-137.41968479854444,150.0,0,Continent_frame,3.1915025760121103,990
15,,87.73770511665269,131.297346798229,160.0,0,Continent_frame,2.262294883347317,990
16,,85.01334434266879,117.96717301525564,170.0,0,Continent_frame,4.986655657331217,990
17,,80.4901529929421,91.50309448233719,180.0,0,Continent_frame,9.509847007057907,990
18,,76.44425839313162,94.04134594371129,190.0,0,Continent_frame,13.555741606868384,990
19,,74.0545669463619,105.31081317315142,200.0,0,Continent_frame,15.945433053638085,990
20,,71.96710423285217,120.36585969849119,210.0,0,Continent_frame,18.03289576714784,990
21,,69.909832647568,132.66772005573205,220.0,0,Continent_frame,20.09016735243201,990
22,,70.08883843976359,148.16457855932993,230.0,0,Continent_frame,19.911161560236412,990
23,,69.43177117755202,165.41469688779443,240.0,0,Continent_frame,20.568228822447978,990
24,,67.99835410617536,175.87336493926597,250.0,0,Continent_frame,22.001645893824644,990
25,,67.0653303700269,-177.94979454141253,260.0,0,Continent_frame,22.934669629973108,990
26,,64.22594590613905,179.6102510553486,270.0,0,Continent_frame,25.77405409386096,990
27,,61.1366385536574,-178.12354132374278,280.0,0,Continent_frame,28.863361446342598,990
28,,62.125188110036945,177.2066325980498,290.0,0,Continent_frame,27.874811889963063,990
29,,55.840278015408344,177.96550767415687,300.0,0,Continent_frame,34.15972198459165,990
30,,50.75610266774849,175.69029248003153,310.0,0,Continent_frame,39.243897332251514,990
31,,47.49856304290572,169.11174235360937,320.0,0,Continent_frame,42.501436957094285,990
32,,86.68774064788641,159.98351866932973,10.0,1,Continent_frame,3.312259352113584,988
33,,84.15430574544435,164.0848948968234,20.0,1,Continent_frame,5.845694254555665,988
34,,83.36413704514398,176.70654976727621,30.0,1,Continent_frame,6.635862954856031,988
35,,84.81992650246775,140.16134354310321,40.0,1,Continent_frame,5.1800734975322476,988
36,,83.73240707206155,152.5242702932635,50.0,1,Continent_frame,6.267592927938441,988
37,,83.76388434627492,-176.15922181151743,60.0,1,Continent_frame,6.236115653725088,988
38,,83.99545385181254,-162.69523724424613,70.0,1,Continent_frame,6.004546148187465,988
39,,86.28945181699521,168.81946692802558,80.0,1,Continent_frame,3.710548183004797,988
40,,85.28750657670327,-121.82610019350639,90.0,1,Continent_frame,4.712493423296749,988
41,,83.2100297105011,-95.78370449288839,100.0,1,Continent_frame,6.789970289498884,988
42,,86.94909824043663,-65.85300278133742,110.0,1,Continent_frame,3.050901759563363,988
43,,87.69483753696304,-110.92239457179306,120.0,1,Continent_frame,2.3051624630369596,988
44,,85.1426399363221,-104.92867092527295,130.0,1,Continent_frame,4.857360063677896,988
45,,86.2660163216658,-85.97635658924018,140.0,1,Continent_frame,3.733983678334206,988
46,,88.15886394688985,-45.490410266005114,150.0,1,Continent_frame,1.8411360531101528,988
47,,86.76083751690231,45.038554928911424,160.0,1,Continent_frame,3.2391624830976844,988
48,,84.72995820697656,75.16610095768266,170.0,1,Continent_frame,5.270041793023449,988
49,,78.9803848709297,76.44417194836274,180.0,1,Continent_frame,11.019615129070292,988
50,,75.20176851562485,82.09282529930158,190.0,1,Continent_frame,14.798231484375153,988
51,,73.42450594659991,94.41548874768631,200.0,1,Continent_frame,16.5754940534001,988
52,,72.01498021356487,109.58509990354446,210.0,1,Continent_frame,17.98501978643514,988
53,,70.81940649886786,124.42509619137024,220.0,1,Continent_frame,19.180593501132137,988
54,,71.7538530017344,140.24746195892726,230.0,1,Continent_frame,18.246146998265598,988
55,,71.7471382620088,157.28038202149952,240.0,1,Continent_frame,18.2528617379912,988
56,,70.3706455793965,168.3384439192555,250.0,1,Continent_frame,19.62935442060351,988
57,,69.60557551574972,175.10484528728387,260.0,1,Continent_frame,20.39442448425028,988
58,,66.79725377234732,173.65341845003502,270.0,1,Continent_frame,23.20274622765269,988
59,,62.95040902351213,178.1181111223919,280.0,1,Continent_frame,27.04959097648788,988
60,,60.51554104210941,-177.20155019198276,290.0,1,Continent_frame,29.48445895789059,988
61,,55.049574539843334,-178.98891117602608,300.0,1,Continent_frame,34.950425460156666,988
62,,49.63030679923668,178.97980037648688,310.0,1,Continent_frame,40.369693200763315,988
63,,46.98630868623088,172.79008235017244,320.0,1,Continent_frame,43.01369131376912,988
64,,86.62382006488318,166.10756705156626,10.0,2,Continent_frame,3.376179935116824,991
