;iteration;lat;lon;age;number;plateid
0;0;19.40678492775373;310.38928411576853;201.0;1.0;101.0
1;0;-31.738193930674925;333.9542833166633;183.0;2.0;701.0
2;0;-42.551321517484354;44.89129662289775;155.0;3.0;801.0
3;0;-4.651039577008883;199.79258725870068;147.0;4.0;901.0
4;0;-27.856289868227964;223.42567006658257;145.0;5.0;901.0
5;0;-42.55382579943809;41.39485254050142;136.0;6.0;801.0
6;0;-20.58683108755361;321.43148683097775;132.0;7.0;701.0
7;0;-49.78245045854256;30.24962818093362;132.0;8.0;801.0
8;0;-39.648257429255004;245.49299728701146;123.0;9.0;901.0
9;0;-44.10839450868795;191.40221167382032;121.0;10.0;901.0
10;0;-37.77424958625999;28.04860454573947;118.0;11.0;501.0
11;0;-44.88975963995566;29.22237139258748;114.0;12.0;8021.0
12;0;-34.56987692485948;201.9397931495503;111.0;13.0;901.0
13;0;-42.74159308791983;40.1849405615352;100.0;14.0;8021.0
14;0;-4.643951586431054;208.7706420408109;99.0;15.0;901.0
15;0;-43.05208568877572;63.88498904502168;96.0;16.0;801.0
16;0;-45.836236191005014;50.125699733886236;95.0;17.0;801.0
17;0;-41.22450293246757;200.45675211885265;90.0;18.0;901.0
18;0;-36.953785387972935;27.257551092719865;84.0;19.0;701.0
19;0;4.73925009189184;325.23392054434674;73.0;20.0;701.0
20;0;-60.41851079641296;351.7401482225085;73.0;21.0;8021.0
21;0;-13.639991803368755;48.54778608428749;65.0;22.0;501.0
22;0;62.85629262452589;343.33931005940804;54.0;23.0;102.0
23;0;11.073856434249574;36.520406812268035;31.0;24.0;701.0
24;0;45.89656004039971;242.80820112420022;15.0;25.0;101.0
25;1;22.312208913697752;308.44840974977365;201.0;1.0;101.0
26;1;-31.25096103527244;331.0990800006469;183.0;2.0;701.0
27;1;-45.12928893335019;44.57367350616964;155.0;3.0;801.0
28;1;-1.5660855581860527;199.292420945477;147.0;4.0;901.0
29;1;-24.813429360169536;222.8934741963609;145.0;5.0;901.0
30;1;-45.75473170374876;42.06356415051922;136.0;6.0;801.0
31;1;-21.868729981104284;320.6882728211998;132.0;7.0;701.0
32;1;-53.61415096838434;30.82617276366703;132.0;8.0;801.0
33;1;-36.65390647589636;246.12305082515792;123.0;9.0;901.0
34;1;-41.30331938227007;194.64266779113925;121.0;10.0;901.0
35;1;-40.96169060573029;29.107858081621874;118.0;11.0;501.0
36;1;-48.88589011747089;29.794947757302186;114.0;12.0;8021.0
37;1;-29.97625789983942;202.31752750046948;111.0;13.0;901.0
38;1;-47.404383558565975;40.38409525878738;100.0;14.0;8021.0
39;1;0.19796726790088576;207.38505842970724;99.0;15.0;901.0
40;1;-46.87034648426756;65.3546335540022;96.0;16.0;801.0
41;1;-50.17623653333707;50.73509561636704;95.0;17.0;801.0
42;1;-36.49387942100858;199.3399521932873;90.0;18.0;901.0
43;1;-41.5601593289328;25.942914012443698;84.0;19.0;701.0
44;1;2.374800220778632;323.86298888348296;73.0;20.0;701.0
45;1;-64.38909402468795;343.88905964990215;73.0;21.0;8021.0
46;1;-18.153188263557787;47.595306490466214;65.0;22.0;501.0
47;1;58.97011915105853;345.8146414928078;54.0;23.0;102.0
48;1;9.00934770537709;35.98317082245136;31.0;24.0;701.0
49;1;45.851038248104835;242.73697353018497;15.0;25.0;101.0
50;2;20.877465092181758;306.7480098786492;201.0;1.0;101.0
51;2;-29.873122378431965;332.28996331828665;183.0;2.0;701.0
52;2;-42.25264403005895;42.43541659986986;155.0;3.0;801.0
53;2;-5.20959009136739;197.41068737783206;147.0;4.0;901.0
54;2;-28.255637768199676;221.2967541122627;145.0;5.0;901.0
55;2;-42.71990118856976;40.14394299396059;136.0;6.0;801.0
