;iteration;age;model;rollback_mean;advance_mean;parallel_mean;rollback_max;advance_max;parallel_max;rollback_max_id;advance_max_id;parallel_max_id;rollback_perc;fast_rollback;fast_advance
0;0;10;Continent_frame;22.82322864720022;-13.409559302505055;23.157502648140884;107.78110902038812;-76.27938421542784;89.33892100211217;679.0;689.0;821.0;63.941299790356396;1.0482180293501049;6.708595387840671
1;0;20;Continent_frame;20.744623769651767;-18.691211833384628;22.36401630412207;68.44706195135983;-67.65388297584396;89.04547422513646;738.0;669.0;201.0;60.73298429319372;0.0;10.645724258289704
2;0;30;Continent_frame;21.946436345007758;-14.185809574758666;27.4463798227004;82.72552868375553;-74.77262007915589;102.73787816198816;821.0;678.0;662.0;73.40619307832422;0.0;4.007285974499089
3;0;40;Continent_frame;25.476701503184685;-17.61085641434642;23.4341333941779;112.00209842987773;-47.944961470455574;120.3014790937951;659.0;610.0;2015.0;66.78700361010831;0.5415162454873645;3.429602888086643
4;1;10;Continent_frame;23.19036426899833;-14.162428279900238;23.195485458806036;107.828125302494;-75.21037822638417;87.4982768964563;679.0;689.0;821.0;65.19916142557652;1.257861635220126;6.289308176100629
5;1;20;Continent_frame;22.016313975600788;-19.6530873284349;22.30078807055737;72.19548701828187;-72.5724204750751;86.28337144166579;738.0;669.0;201.0;58.46422338568935;0.0;12.390924956369982
6;1;30;Continent_frame;22.699584485056334;-11.717162940109336;26.784702905930615;82.1497928024784;-71.30595163219687;99.53416119454255;821.0;678.0;662.0;69.39890710382514;0.0;3.825136612021858
7;1;40;Continent_frame;32.225341693262116;-25.991821205302013;25.88988937805791;116.53463025718533;-58.68564585093892;122.63516526019244;659.0;346.0;2015.0;59.205776173285194;0.7220216606498195;19.133574007220215
8;2;10;Continent_frame;24.239681979180094;-14.849680387444842;23.25199191059158;107.82283270698063;-73.90657492550216;86.21190194839485;679.0;689.0;821.0;65.40880503144653;1.257861635220126;5.870020964360587
9;2;20;Continent_frame;21.408674819676868;-19.84002042849318;23.064115066163524;72.17622479581793;-72.96917234003554;85.20307420558696;738.0;669.0;847.0;59.51134380453752;0.0;12.216404886561955
10;2;30;Continent_frame;23.444083166852902;-15.107960661517888;26.46041306936998;77.17443622191357;-69.66337042487265;95.02101565017486;821.0;678.0;662.0;70.85610200364299;0.0;3.825136612021858
11;2;40;Continent_frame;32.55198524345327;-26.125554463322775;25.902790633821947;116.07287397906367;-59.19418379315646;122.62768299512041;659.0;346.0;2015.0;58.844765342960294;0.7220216606498195;19.133574007220215
12;3;10;Continent_frame;23.742957961216106;-14.38631040336928;23.18725696584299;107.7515052597075;-74.64303092709808;86.55983134705076;679.0;689.0;821.0;64.98951781970649;1.257861635220126;6.079664570230608
13;3;20;Continent_frame;21.949591527555388;-19.88165451531978;22.878862472775005;72.9396369192695;-73.96702444841841;85.99966706632216;738.0;669.0;847.0;58.46422338568935;0.0;12.56544502617801
14;3;30;Continent_frame;23.301448667677814;-13.976079400482698;26.417572920136905;78.8260385335792;-69.0286410666655;95.88529129459813;821.0;678.0;662.0;70.12750455373407;0.0;3.278688524590164
15;3;40;Continent_frame;23.103381592155795;-11.217743845147272;21.50868504282725;106.44304393303675;-46.43032274342283;120.61443474172934;659.0;610.0;2015.0;70.03610108303249;0.36101083032490977;1.263537906137184
16;4;10;Continent_frame;23.646008090148523;-14.566276906264182;23.213660670400245;107.63718295924305;-74.14636614710749;85.98403355822637;679.0;689.0;821.0;65.61844863731656;1.257861635220126;6.079664570230608
17;4;20;Continent_frame;21.967769420014655;-19.214180734305064;22.627350033476905;72.024366329768;-72.63671049835595;85.41580714068132;738.0;669.0;201.0;58.1151832460733;0.0;12.216404886561955
18;4;30;Continent_frame;23.277439669668997;-11.84255011877081;26.70048594572049;80.63931311048616;-70.87706037352018;99.11383477134102;821.0;678.0;662.0;68.6703096539162;0.0;3.278688524590164
19;4;40;Continent_frame;24.116062201619222;-14.250954956576273;22.069598225232717;107.55645760213548;-46.32187282181003;120.22063366792365;659.0;610.0;2015.0;68.59205776173285;0.36101083032490977;1.444043321299639
20;5;10;Continent_frame;23.200511105962235;-14.10166837128201;23.159270665441948;107.69444784380039;-75.19386767733963;87.5597305140984;679.0;689.0;821.0;64.98951781970649;1.257861635220126;6.289308176100629
21;5;20;Continent_frame;21.980307572121472;-19.979226937882988;22.442233325200746;72.61554319309131;-73.29948652983973;85.8906127576665;738.0;669.0;847.0;58.63874345549738;0.0;12.739965095986038
22;5;30;Continent_frame;23.09890988260359;-12.79433778530934;26.528735860178628;80.68053940275799;-69.31242394120045;97.12320316162122;821.0;678.0;662.0;69.39890710382514;0.0;3.096539162112933
23;5;40;Continent_frame;32.5485040686293;-26.177679635221207;25.918905289493722;116.1981214908852;-59.23653982541589;122.75658995311646;659.0;346.0;2015.0;58.844765342960294;0.7220216606498195;19.314079422382672
24;6;10;Continent_frame;22.30308219002416;-13.07146808000046;23.176272322044024;107.66810328307743;-77.25572685563725;91.08146526384357;679.0;689.0;821.0;63.312368972746334;0.8385744234800839;6.918238993710692
25;6;20;Continent_frame;22.182606506790577;-20.824170541731984;21.520805358606715;71.11717158517766;-70.64706053982529;90.34436349522034;738.0;669.0;201.0;59.68586387434554;0.0;13.438045375218149
26;6;30;Continent_frame;22.505886970217897;-12.193717495335514;26.66509336736094;83.55141348647909;-68.82393886756726;97.29548417804318;821.0;678.0;662.0;69.39890710382514;0.0;3.642987249544627
27;6;40;Continent_frame;32.57177940691222;-26.189562228975543;25.91890584859524;116.08076544186088;-59.289339388871696;122.64612516531805;659.0;346.0;2015.0;58.844765342960294;0.7220216606498195;19.314079422382672
28;7;10;Continent_frame;24.226266348839633;-14.84455858864526;23.26925996101665;107.9515112167522;-74.08642560831309;86.35921717626636;679.0;689.0;821.0;65.40880503144653;1.257861635220126;5.870020964360587
29;7;20;Continent_frame;21.851994568341166;-19.30023480370906;22.734603880566517;72.05620873599266;-72.45243753284223;85.19527887777578;738.0;669.0;847.0;58.46422338568935;0.0;12.216404886561955
30;7;30;Continent_frame;21.30751110949237;-14.430679960810732;27.572958223654584;85.76453842576969;-73.73100480867976;104.37175390036805;821.0;678.0;662.0;74.68123861566485;0.0;4.007285974499089
31;7;40;Continent_frame;22.973855347604403;-9.173030251908676;21.341488909127595;106.26592468202112;-47.28068571776378;120.47588326620382;659.0;610.0;2015.0;69.85559566787003;0.36101083032490977;1.444043321299639
32;8;10;Continent_frame;23.638843173369935;-14.461155806693245;23.296345451120956;108.37098699697808;-75.45627129160492;87.45260914888966;679.0;689.0;821.0;65.19916142557652;1.257861635220126;6.079664570230608
33;8;20;Continent_frame;20.799991697814928;-19.08453891995025;23.0771199728011;69.84680744556955;-69.77192762403699;86.11580603638357;738.0;669.0;201.0;60.55846422338569;0.0;12.041884816753926
34;8;30;Continent_frame;21.776840246686398;-14.453961015636764;27.217390249008726;80.9379434844625;-74.00196998880854;100.93838269357349;821.0;678.0;662.0;73.95264116575592;0.0;3.825136612021858
35;8;40;Continent_frame;31.80935173231413;-24.83166980419684;25.797282465525;116.90767930066326;-57.03126959450931;121.93863938989648;659.0;346.0;2015.0;59.38628158844765;0.7220216606498195;17.328519855595665
36;9;10;Continent_frame;24.07897645261378;-14.965309137051962;23.276365934120495;107.61868627403874;-73.30769885341503;85.63533877650741;679.0;689.0;821.0;66.0377358490566;1.257861635220126;5.870020964360587
