;iteration;age;model;nr;interval
0;0;5;Continent_frame;0.2414408422235453;5
1;0;10;Continent_frame;0.20284350858204328;5
2;0;15;Continent_frame;0.23392232265404983;5
3;0;20;Continent_frame;0.20116122473056242;5
4;0;25;Continent_frame;0.2120272106967397;5
5;0;30;Continent_frame;0.17954870381608104;5
6;0;35;Continent_frame;0.22165679447795109;5
7;0;40;Continent_frame;0.22446387045520957;5
8;0;45;Continent_frame;0.13636407996465555;5
9;1;5;Continent_frame;0.23941420233502791;5
10;1;10;Continent_frame;0.19815607418724207;5
11;1;15;Continent_frame;0.22980382016611095;5
12;1;20;Continent_frame;0.2143897180034205;5
13;1;25;Continent_frame;0.1988172081589594;5
14;1;30;Continent_frame;0.10480217531675717;5
15;1;35;Continent_frame;0.36283985159965626;5
16;1;40;Continent_frame;0.360704051784359;5
17;1;45;Continent_frame;0.07898264094901643;5
18;2;5;Continent_frame;0.23100909809842976;5
19;2;10;Continent_frame;0.23971095126236097;5
20;2;15;Continent_frame;0.30687399446830155;5
21;2;20;Continent_frame;0.17647539288440317;5
22;2;25;Continent_frame;0.17956752771068354;5
23;2;30;Continent_frame;0.13604605424117447;5
24;2;35;Continent_frame;0.3696943388098063;5
25;2;40;Continent_frame;0.356582272458283;5
26;2;45;Continent_frame;0.07887482811907989;5
27;3;5;Continent_frame;0.23771549618447588;5
28;3;10;Continent_frame;0.21141291502959322;5
29;3;15;Continent_frame;0.25913828108762416;5
30;3;20;Continent_frame;0.2133685502860865;5
31;3;25;Continent_frame;0.16530755031279185;5
32;3;30;Continent_frame;0.12055737271194583;5
33;3;35;Continent_frame;0.13388267303975107;5
34;3;40;Continent_frame;0.11085768250073816;5
35;3;45;Continent_frame;0.13125406132421327;5
36;4;5;Continent_frame;0.23846427522532157;5
37;4;10;Continent_frame;0.20639787505854687;5
38;4;15;Continent_frame;0.23564582553623642;5
39;4;20;Continent_frame;0.22095683970417807;5
40;4;25;Continent_frame;0.22187070253157815;5
41;4;30;Continent_frame;0.07927842583281065;5
42;4;35;Continent_frame;0.14124503901956484;5
43;4;40;Continent_frame;0.15934671898269093;5
44;4;45;Continent_frame;0.14567698562074546;5
45;5;5;Continent_frame;0.23914436447761217;5
46;5;10;Continent_frame;0.19871154455550596;5
47;5;15;Continent_frame;0.2335857452930004;5
48;5;20;Continent_frame;0.21796772946255724;5
49;5;25;Continent_frame;0.18736258296851246;5
50;5;30;Continent_frame;0.07925552066375255;5
51;5;35;Continent_frame;0.37030751883926033;5
52;5;40;Continent_frame;0.35726667504974463;5
53;5;45;Continent_frame;0.07826842463892596;5
54;6;5;Continent_frame;0.24302388193589963;5
55;6;10;Continent_frame;0.22641769864307773;5
56;6;15;Continent_frame;0.2182564966864926;5
57;6;20;Continent_frame;0.18501782956184676;5
58;6;25;Continent_frame;0.1826589318312893;5
59;6;30;Continent_frame;0.04358667581607979;5
60;6;35;Continent_frame;0.37019377727352343;5
61;6;40;Continent_frame;0.35738980475702553;5
62;6;45;Continent_frame;0.11500377750913658;5
63;7;5;Continent_frame;0.213863968705735;5
64;7;10;Continent_frame;0.19697548967761086;5
65;7;15;Continent_frame;0.34147905422666747;5
66;7;20;Continent_frame;0.16083717650091944;5
67;7;25;Continent_frame;0.21530157209445014;5
68;7;30;Continent_frame;0.2994957942327916;5
69;7;35;Continent_frame;0.13502536651427888;5
70;7;40;Continent_frame;0.0708913424352909;5
71;7;45;Continent_frame;0.10965626527226102;5
72;8;5;Continent_frame;0.22091125332381825;5
73;8;10;Continent_frame;0.20393121855119;5
74;8;15;Continent_frame;0.29731333627164;5
75;8;20;Continent_frame;0.18077701168532953;5
76;8;25;Continent_frame;0.20384217011209352;5
77;8;30;Continent_frame;0.16755884362908996;5
78;8;35;Continent_frame;0.3513594762385259;5
79;8;40;Continent_frame;0.35774410981630717;5
80;8;45;Continent_frame;0.07802017039130626;5
81;9;5;Continent_frame;0.2383917212509761;5
82;9;10;Continent_frame;0.22346238725850667;5
83;9;15;Continent_frame;0.24521996128761497;5
84;9;20;Continent_frame;0.23068093141048948;5
85;9;25;Continent_frame;0.2868155346449133;5
86;9;30;Continent_frame;0.3748471874140111;5
87;9;35;Continent_frame;0.12594192902501739;5
88;9;40;Continent_frame;0.20993029501041294;5
89;9;45;Continent_frame;0.07908411418675602;5
90;10;5;Continent_frame;0.21497518085115647;5
91;10;10;Continent_frame;0.1980268236066127;5
92;10;15;Continent_frame;0.2677016026275256;5
93;10;20;Continent_frame;0.20265776214225004;5
94;10;25;Continent_frame;0.17490257270463166;5
95;10;30;Continent_frame;0.13490915440291879;5
96;10;35;Continent_frame;0.14754946608762715;5
97;10;40;Continent_frame;0.28508127223772567;5
98;10;45;Continent_frame;0.1339880616961157;5
99;11;5;Continent_frame;0.2146329517782246;5
100;11;10;Continent_frame;0.197781722802019;5
101;11;15;Continent_frame;0.35204932314798787;5
102;11;20;Continent_frame;0.43892069177398796;5
103;11;25;Continent_frame;0.3801964195915349;5
104;11;30;Continent_frame;0.37340928565919285;5
105;11;35;Continent_frame;0.12262106173901924;5
106;11;40;Continent_frame;0.25418459766683177;5
107;11;45;Continent_frame;0.1642295151227679;5
108;12;5;Continent_frame;0.2137155787429553;5
109;12;10;Continent_frame;0.19678189210012192;5
110;12;15;Continent_frame;0.3409090331399498;5
111;12;20;Continent_frame;0.15348999556887805;5
112;12;25;Continent_frame;0.21451057345951258;5
113;12;30;Continent_frame;0.22025866929904667;5
114;12;35;Continent_frame;0.13170706128283755;5
115;12;40;Continent_frame;0.11055336184973662;5
116;12;45;Continent_frame;0.12930080697817997;5
117;13;5;Continent_frame;0.241053669924062;5
118;13;10;Continent_frame;0.19432874251942614;5
119;13;15;Continent_frame;0.21957074334313864;5
120;13;20;Continent_frame;0.20481989039036522;5
121;13;25;Continent_frame;0.2449954748224195;5
122;13;30;Continent_frame;0.045308888533167224;5
123;13;35;Continent_frame;0.3701246480565879;5
124;13;40;Continent_frame;0.35735715629350834;5
125;13;45;Continent_frame;0.07861692176029836;5
126;14;5;Continent_frame;0.24049405418481598;5
127;14;10;Continent_frame;0.2094496978202671;5
128;14;15;Continent_frame;0.23765979981509794;5
129;14;20;Continent_frame;0.2228974693441244;5
130;14;25;Continent_frame;0.23013593551882183;5
131;14;30;Continent_frame;0.14173467432580864;5
132;14;35;Continent_frame;0.2974468352726217;5
133;14;40;Continent_frame;0.36068054228894714;5
134;14;45;Continent_frame;0.0795118762725457;5
135;15;5;Continent_frame;0.22085682537374127;5
136;15;10;Continent_frame;0.20385982614702108;5
137;15;15;Continent_frame;0.24274603470790068;5
138;15;20;Continent_frame;0.19428268948995686;5
139;15;25;Continent_frame;0.19599807361807037;5
140;15;30;Continent_frame;0.12450370428965979;5
141;15;35;Continent_frame;0.136509632130348;5
142;15;40;Continent_frame;0.0807668129065227;5
143;15;45;Continent_frame;0.07968922802130596;5
144;16;5;Continent_frame;0.21605968331379435;5
145;16;10;Continent_frame;0.19906584325602747;5
146;16;15;Continent_frame;0.3032559249808005;5
147;16;20;Continent_frame;0.16038462605681583;5
148;16;25;Continent_frame;0.20968461097075997;5
149;16;30;Continent_frame;0.16685124702539336;5
150;16;35;Continent_frame;0.14425461837561393;5
151;16;40;Continent_frame;0.24393490592559539;5
152;16;45;Continent_frame;0.17323616834063285;5
153;17;5;Continent_frame;0.21383431505868283;5
154;17;10;Continent_frame;0.19694557673131186;5
155;17;15;Continent_frame;0.35148985444321235;5
156;17;20;Continent_frame;0.1558631808640968;5
157;17;25;Continent_frame;0.21827534186158995;5
158;17;30;Continent_frame;0.3718433590917004;5
159;17;35;Continent_frame;0.13053470287780775;5
160;17;40;Continent_frame;0.2044579066347358;5
161;17;45;Continent_frame;0.1584243340968345;5
162;18;5;Continent_frame;0.23740764235682338;5
163;18;10;Continent_frame;0.195042770462074;5
