;Chain;Lat;Lon;Lat_err;Lon_err;Age;ref_lat;ref_lon;Plateid
0;Louisville;-48.78973995708728;-146.24798628435332;-0.025182995061957314;0.10897574096317442;10;-50.43;-139.15;901
1;Louisville;-46.595749999999995;-154.5364090909091;-0.02925000000000111;0.10459090909090207;20;-50.43;-139.15;901
2;Louisville;-44.596029411764704;-159.38536764705884;0.8739705882352986;-1.8103676470588397;30;-50.43;-139.15;901
3;Louisville;-40.484375;-165.69982142857145;0.12604166666666927;-0.1473214285714306;40;-50.43;-139.15;901
4;Louisville;-37.433174603174606;-169.10174603174602;-0.4353968253968219;0.2610317460317475;50;-50.43;-139.15;901
5;Louisville;-31.339583333333334;-172.58674242424243;0.685416666666665;-0.36674242424243175;60;-50.43;-139.15;901
6;Louisville;-27.60327827512294;-174.3048165426806;-0.2173042491489081;0.0918068339427549;70;-50.43;-139.15;901
7;Louisville;-24.73633313119062;-175.3191793005862;-0.6500586213866999;0.22866383666868728;80;-50.43;-139.15;901
8;Tristan;-37.1;-10.853672307473495;0.0;-0.006174141662782517;10;-37.1;-12.3;701
9;Tristan;-37.1;-9.301650099114285;0.0;-0.11225904995801095;20;-37.1;-12.3;701
10;Tristan;-37.200871794871794;-7.879076923076923;0.4611282051282046;0.45292307692307743;30;-37.1;-12.3;701
11;Tristan;-34.49795321637427;-4.865520467836257;-0.13426900584795476;0.09974269005847969;40;-37.1;-12.3;701
12;Tristan;-34.44909090909091;-2.0617482517482517;-0.009090909090907928;-0.040979020979021286;50;-37.1;-12.3;701
13;Tristan;-33.36758291614518;-0.46982008760951194;-0.10609355444305635;-0.12003285356695875;60;-37.1;-12.3;701
14;Tristan;-31.466253731343283;1.1435671641791045;0.052253731343284926;0.04043283582089574;70;-37.1;-12.3;701
15;Tristan;-29.042261194029848;3.019201492537313;-0.4267388059701478;-0.3302014925373127;80;-37.1;-12.3;701
16;Tristan;-26.579329092836588;4.59700590640618;0.06712252006663633;0.043134938664243894;90;-37.1;-12.3;701
17;Tristan;-23.951553839164013;6.285692866878692;-0.3470377101317581;-0.2230168105406629;100;-37.1;-12.3;701
18;Tristan;-21.323778585491443;7.974379827351205;-0.7611979403301525;-0.48916855974557016;110;-37.1;-12.3;701
19;Tristan;-19.77375;9.606875;-0.2612500000000004;1.1756250000000001;120;-37.1;-12.3;701
20;Tristan;-20.73625;13.938125;0.15124999999999922;-0.680625;130;-37.1;-12.3;701
21;Reunion;-20.30712690295656;57.49570916358079;1.5180303297478392;0.913948157291486;10;-21.23;55.71;709
22;Reunion;-18.026517956856523;58.86877681772762;0.7483248104390761;0.45053782401692644;20;-21.23;55.71;709
23;Reunion;-15.74590901075648;60.24184447187445;-0.021380708869687126;-0.012872509257626064;30;-21.23;55.71;709
24;Reunion;-10.93139224137931;60.56700862068965;-0.9658922413793105;0.35600862068965355;40;-21.23;55.71;709
25;Reunion;-10.114663461538463;60.30803098290598;1.1540865384615397;-0.579607905982904;50;-21.23;55.71;709
26;Reunion;-5.845219023779732;73.31143512724239;2.7071339173967517;0.12849395077179793;50;-21.23;55.71;501
27;Reunion;-8.119471153846153;59.30600106837607;0.024278846153845457;-0.012193376068374562;60;-21.23;55.71;709
28;Reunion;-0.2485714285714291;73.41214285714285;13.32142857142857;1.0446428571428612;60;-21.23;55.71;501
29;Reunion;42.379999999999995;76.755;-18.650000000000002;-1.4624999999999986;70;-21.23;55.71;501
30;St_Helena;-8.365725000000001;-15.228191666666667;-0.013724999999999987;-0.08819166666666689;10;-9.0116;-16.383;701
31;St_Helena;-6.188188502673796;-15.17137130392157;0.04362967914438487;0.03807536274509893;20;-9.0116;-16.383;701
32;St_Helena;-3.7921323529411763;-13.080347284313726;0.00786764705882348;0.006866049019608411;30;-9.0116;-16.383;701
33;St_Helena;-1.3960762032085556;-10.989323264705883;-0.027894385026738355;-0.024343264705882106;40;-9.0116;-16.383;701
34;St_Helena;0.9999799465240646;-8.89829924509804;-0.06365641711229975;-0.05555257843137262;50;-9.0116;-16.383;701
35;St_Helena;2.4375841853335007;-7.160490930421724;0.0030112345138282315;0.004267266299587291;60;-9.0116;-16.383;701
36;St_Helena;3.591890748967589;-5.5247055155800275;-0.03805105431109945;-0.05392272869478054;70;-9.0116;-16.383;701
37;St_Helena;4.646700000000001;-3.1049979999999966;-4.440892098500626e-16;-2.6645352591003757e-15;80;-9.0116;-16.383;701
38;Kerguelen;-51.11586925991547;71.34625246881657;-0.034606931513103234;0.02041420118342785;10;-53.1;72.51666667;802
39;Kerguelen;-49.13173851983093;70.17583826763314;-0.06921386302620292;0.04082840236686991;20;-53.1;72.51666667;802
40;Kerguelen;-47.14760777974641;69.0054240664497;-0.10382079453930615;0.06124260355029776;30;-53.1;72.51666667;802
41;Kerguelen;-29.27142361111111;87.78519676048612;0.5448263888888878;-0.03521990701388944;40;-53.1;72.51666667;501
42;Kerguelen;-21.99466765717262;87.87001488428572;-0.30550099217261817;-0.019151785714285552;50;-53.1;72.51666667;501
43;Kerguelen;-1.0282485842376374;89.69161015406775;-12.429915254236935;-1.173389815932154;60;-53.1;72.51666667;501
44;Kerguelen;-3.996030358807967;89.43990322540037;-0.329991144772674;-0.032430107658449;70;-53.1;72.51666667;501
45;Kerguelen;4.293410657717175;90.25455376633965;-1.8768246358945877;-0.18444623730740517;80;-53.1;72.51666667;501
46;Kerguelen;9.497368500746749;89.83976981764363;1.0019953666960006;-0.1271107821474331;90;-53.1;72.51666667;501
